idx,muni_code,muni_name,pref_name
523,10464,玉村町,群馬県
524,10521,板倉町,群馬県
525,10522,明和町,群馬県
526,10523,千代田町,群馬県
527,10524,大泉町,群馬県
528,10525,邑楽町,群馬県
529,11101,さいたま市西区,埼玉県
530,11102,さいたま市北区,埼玉県
531,11103,さいたま市大宮区,埼玉県
532,11104,さいたま市見沼区,埼玉県
533,11105,さいたま市中央区,埼玉県
534,11106,さいたま市桜区,埼玉県
535,11107,さいたま市浦和区,埼玉県
536,11108,さいたま市南区,埼玉県
537,11109,さいたま市緑区,埼玉県
538,11110,さいたま市岩槻区,埼玉県
539,11201,川越市,埼玉県
540,11202,熊谷市,埼玉県
541,11203,川口市,埼玉県
542,11206,行田市,埼玉県
543,11207,秩父市,埼玉県
544,11208,所沢市,埼玉県
545,11209,飯能市,埼玉県
546,11210,加須市,埼玉県
547,11211,本庄市,埼玉県
548,11212,東松山市,埼玉県
549,11214,春日部市,埼玉県
550,11215,狭山市,埼玉県
551,11216,羽生市,埼玉県
552,11217,鴻巣市,埼玉県
553,11218,深谷市,埼玉県
554,11219,上尾市,埼玉県
555,11221,草加市,埼玉県
556,11222,越谷市,埼玉県
557,11223,蕨市,埼玉県
558,11224,戸田市,埼玉県
559,11225,入間市,埼玉県
560,11227,朝霞市,埼玉県
561,11228,志木市,埼玉県
562,11229,和光市,埼玉県
563,11230,新座市,埼玉県
564,11231,桶川市,埼玉県
565,11232,久喜市,埼玉県
566,11233,北本市,埼玉県
567,11234,八潮市,埼玉県
568,11235,富士見市,埼玉県
569,11237,三郷市,埼玉県
570,11238,蓮田市,埼玉県
571,11239,坂戸市,埼玉県
572,11240,幸手市,埼玉県
573,11241,鶴ヶ島市,埼玉県
574,11242,日高市,埼玉県
575,11243,吉川市,埼玉県
576,11245,ふじみ野市,埼玉県
577,11246,白岡市,埼玉県
578,11301,伊奈町,埼玉県
579,11324,三芳町,埼玉県
580,11326,毛呂山町,埼玉県
581,11327,越生町,埼玉県
582,11341,滑川町,埼玉県
583,11342,嵐山町,埼玉県
584,11343,小川町,埼玉県
585,11346,川島町,埼玉県
586,11347,吉見町,埼玉県
587,11348,鳩山町,埼玉県
588,11349,ときがわ町,埼玉県
589,11361,横瀬町,埼玉県
590,11362,皆野町,埼玉県
591,11363,長瀞町,埼玉県
592,11365,小鹿野町,埼玉県
593,11369,東秩父村,埼玉県
594,11381,美里町,埼玉県
595,11383,神川町,埼玉県
596,11385,上里町,埼玉県
597,11408,寄居町,埼玉県
598,11442,宮代町,埼玉県
599,11464,杉戸町,埼玉県
600,11465,松伏町,埼玉県
601,12000,所属未定地,千葉県
602,12101,千葉市中央区,千葉県
603,12102,千葉市花見川区,千葉県
604,12103,千葉市稲毛区,千葉県
605,12104,千葉市若葉区,千葉県
606,12105,千葉市緑区,千葉県
607,12106,千葉市美浜区,千葉県
608,12202,銚子市,千葉県
609,12203,市川市,千葉県
610,12204,船橋市,千葉県
611,12205,館山市,千葉県
612,12206,木更津市,千葉県
613,12207,松戸市,千葉県
614,12208,野田市,千葉県
615,12210,茂原市,千葉県
616,12211,成田市,千葉県
617,12212,佐倉市,千葉県
618,12213,東金市,千葉県
619,12215,旭市,千葉県
620,12216,習志野市,千葉県
621,12217,柏市,千葉県
622,12218,勝浦市,千葉県
623,12219,市原市,千葉県
624,12220,流山市,千葉県
625,12221,八千代市,千葉県
626,12222,我孫子市,千葉県
627,12223,鴨川市,千葉県
628,12224,鎌ケ谷市,千葉県
629,12225,君津市,千葉県
630,12226,富津市,千葉県
631,12227,浦安市,千葉県
632,12228,四街道市,千葉県
633,12229,袖ケ浦市,千葉県
634,12230,八街市,千葉県
635,12231,印西市,千葉県
636,12232,白井市,千葉県
637,12233,富里市,千葉県
638,12234,南房総市,千葉県
639,12235,匝瑳市,千葉県
640,12236,香取市,千葉県
641,12237,山武市,千葉県
642,12238,いすみ市,千葉県
643,12239,大網白里市,千葉県
644,12322,酒々井町,千葉県
645,12329,栄町,千葉県
646,12342,神崎町,千葉県
647,12347,多古町,千葉県
648,12349,東庄町,千葉県
649,12403,九十九里町,千葉県
650,12409,芝山町,千葉県
651,12410,横芝光町,千葉県
652,12421,一宮町,千葉県
653,12422,睦沢町,千葉県
654,12423,長生村,千葉県
655,12424,白子町,千葉県
656,12426,長柄町,千葉県
657,12427,長南町,千葉県
658,12441,大多喜町,千葉県
659,12443,御宿町,千葉県
660,12463,鋸南町,千葉県
661,13000,所属未定地,東京都
662,13101,千代田区,東京都
663,13102,中央区,東京都
664,13103,港区,東京都
665,13104,新宿区,東京都
666,13105,文京区,東京都
667,13106,台東区,東京都
668,13107,墨田区,東京都
669,13108,江東区,東京都
670,13109,品川区,東京都
671,13110,目黒区,東京都
672,13111,大田区,東京都
673,13112,世田谷区,東京都
674,13113,渋谷区,東京都
675,13114,中野区,東京都
676,13115,杉並区,東京都
677,13116,豊島区,東京都
678,13117,北区,東京都
679,13118,荒川区,東京都
680,13119,板橋区,東京都
681,13120,練馬区,東京都
682,13121,足立区,東京都
683,13122,葛飾区,東京都
684,13123,江戸川区,東京都
685,13201,八王子市,東京都
686,13202,立川市,東京都
687,13203,武蔵野市,東京都
688,13204,三鷹市,東京都
689,13205,青梅市,東京都
690,13206,府中市,東京都
691,13207,昭島市,東京都
692,13208,調布市,東京都
693,13209,町田市,東京都
694,13210,小金井市,東京都
695,13211,小平市,東京都
696,13212,日野市,東京都
697,13213,東村山市,東京都
698,13214,国分寺市,東京都
699,13215,国立市,東京都
700,13218,福生市,東京都
701,13219,狛江市,東京都
702,13220,東大和市,東京都
703,13221,清瀬市,東京都
704,13222,東久留米市,東京都
705,13223,武蔵村山市,東京都
706,13224,多摩市,東京都
707,13225,稲城市,東京都
708,13227,羽村市,東京都
709,13228,あきる野市,東京都
710,13229,西東京市,東京都
711,13303,瑞穂町,東京都
712,13305,日の出町,東京都
713,13307,檜原村,東京都
714,13308,奥多摩町,東京都
715,13361,大島町,東京都
716,13362,利島村,東京都
717,13363,新島村,東京都
718,13364,神津島村,東京都
719,13381,三宅村,東京都
720,13382,御蔵島村,東京都
721,13401,八丈町,東京都
722,13402,青ヶ島村,東京都
723,13421,小笠原村,東京都
724,14101,横浜市鶴見区,神奈川県
725,14102,横浜市神奈川区,神奈川県
726,14103,横浜市西区,神奈川県
727,14104,横浜市中区,神奈川県
728,14105,横浜市南区,神奈川県
729,14106,横浜市保土ケ谷区,神奈川県
730,14107,横浜市磯子区,神奈川県
731,14108,横浜市金沢区,神奈川県
732,14109,横浜市港北区,神奈川県
733,14110,横浜市戸塚区,神奈川県
734,14111,横浜市港南区,神奈川県
735,14112,横浜市旭区,神奈川県
736,14113,横浜市緑区,神奈川県
737,14114,横浜市瀬谷区,神奈川県
738,14115,横浜市栄区,神奈川県
739,14116,横浜市泉区,神奈川県
740,14117,横浜市青葉区,神奈川県
741,14118,横浜市都筑区,神奈川県
742,14131,川崎市川崎区,神奈川県
743,14132,川崎市幸区,神奈川県
744,14133,川崎市中原区,神奈川県
745,14134,川崎市高津区,神奈川県
746,14135,川崎市多摩区,神奈川県
747,14136,川崎市宮前区,神奈川県
748,14137,川崎市麻生区,神奈川県
749,14151,相模原市緑区,神奈川県
750,14152,相模原市中央区,神奈川県
751,14153,相模原市南区,神奈川県
752,14201,横須賀市,神奈川県
753,14203,平塚市,神奈川県
754,14204,鎌倉市,神奈川県
755,14205,藤沢市,神奈川県
756,14206,小田原市,神奈川県
757,14207,茅ヶ崎市,神奈川県
758,14208,逗子市,神奈川県
759,14210,三浦市,神奈川県
760,14211,秦野市,神奈川県
761,14212,厚木市,神奈川県
762,14213,大和市,神奈川県
763,14214,伊勢原市,神奈川県
764,14215,海老名市,神奈川県
765,14216,座間市,神奈川県
766,14217,南足柄市,神奈川県
767,14218,綾瀬市,神奈川県
768,14301,葉山町,神奈川県
769,14321,寒川町,神奈川県
770,14341,大磯町,神奈川県
771,14342,二宮町,神奈川県
772,14361,中井町,神奈川県
773,14362,大井町,神奈川県
774,14363,松田町,神奈川県
775,14364,山北町,神奈川県
776,14366,開成町,神奈川県
777,14382,箱根町,神奈川県
778,14383,真鶴町,神奈川県
779,14384,湯河原町,神奈川県
780,14401,愛川町,神奈川県
781,14402,清川村,神奈川県
782,15101,新潟市北区,新潟県
783,15102,新潟市東区,新潟県
784,15103,新潟市中央区,新潟県
785,15104,新潟市江南区,新潟県
786,15105,新潟市秋葉区,新潟県
787,15106,新潟市南区,新潟県
788,15107,新潟市西区,新潟県
789,15108,新潟市西蒲区,新潟県
790,15202,長岡市,新潟県
791,15204,三条市,新潟県
792,15205,柏崎市,新潟県
793,15206,新発田市,新潟県
794,15208,小千谷市,新潟県
795,15209,加茂市,新潟県
796,15210,十日町市,新潟県
797,15211,見附市,新潟県
798,15212,村上市,新潟県
799,15213,燕市,新潟県
800,15216,糸魚川市,新潟県
801,15217,妙高市,新潟県
802,15218,五泉市,新潟県
803,15222,上越市,新潟県
804,15223,阿賀野市,新潟県
805,15224,佐渡市,新潟県
806,15225,魚沼市,新潟県
807,15226,南魚沼市,新潟県
808,15227,胎内市,新潟県
809,15307,聖籠町,新潟県
810,15342,弥彦村,新潟県
811,15361,田上町,新潟県
812,15385,阿賀町,新潟県
813,15405,出雲崎町,新潟県
814,15461,湯沢町,新潟県
815,15482,津南町,新潟県
816,15504,刈羽村,新潟県
817,15581,関川村,新潟県
818,15586,粟島浦村,新潟県
819,16201,富山市,富山県
820,16202,高岡市,富山県
821,16204,魚津市,富山県
822,16205,氷見市,富山県
823,16206,滑川市,富山県
824,16207,黒部市,富山県
825,16208,砺波市,富山県
826,16209,小矢部市,富山県
827,16210,南砺市,富山県
828,16211,射水市,富山県
829,16321,舟橋村,富山県
830,16322,上市町,富山県
831,16323,立山町,富山県
832,16342,入善町,富山県
833,16343,朝日町,富山県
834,17201,金沢市,石川県
835,17202,七尾市,石川県
836,17203,小松市,石川県
837,17204,輪島市,石川県
838,17205,珠洲市,石川県
839,17206,加賀市,石川県
840,17207,羽咋市,石川県
841,17209,かほく市,石川県
842,17210,白山市,石川県
843,17211,能美市,石川県
844,17212,野々市市,石川県
845,17324,川北町,石川県
846,17361,津幡町,石川県
847,17365,内灘町,石川県
848,17384,志賀町,石川県
849,17386,宝達志水町,石川県
850,17407,中能登町,石川県
851,17461,穴水町,石川県
852,17463,能登町,石川県
853,18201,福井市,福井県
854,18202,敦賀市,福井県
855,18204,小浜市,福井県
856,18205,大野市,福井県
857,18206,勝山市,福井県
858,18207,鯖江市,福井県
859,18208,あわら市,福井県
860,18209,越前市,福井県
861,18210,坂井市,福井県
862,18322,永平寺町,福井県
863,18382,池田町,福井県
864,18404,南越前町,福井県
865,18423,越前町,福井県
866,18442,美浜町,福井県
867,18481,高浜町,福井県
868,18483,おおい町,福井県
869,18501,若狭町,福井県
870,19201,甲府市,山梨県
871,19202,富士吉田市,山梨県
872,19204,都留市,山梨県
873,19205,山梨市,山梨県
874,19206,大月市,山梨県
875,19207,韮崎市,山梨県
876,19208,南アルプス市,山梨県
877,19209,北杜市,山梨県
878,19210,甲斐市,山梨県
879,19211,笛吹市,山梨県
880,19212,上野原市,山梨県
881,19213,甲州市,山梨県
882,19214,中央市,山梨県
883,19346,市川三郷町,山梨県
884,19364,早川町,山梨県
885,19365,身延町,山梨県
886,19366,南部町,山梨県
887,19368,富士川町,山梨県
888,19384,昭和町,山梨県
889,19422,道志村,山梨県
890,19423,西桂町,山梨県
891,19424,忍野村,山梨県
892,19425,山中湖村,山梨県
893,19429,鳴沢村,山梨県
894,19430,富士河口湖町,山梨県
895,19442,小菅村,山梨県
896,19443,丹波山村,山梨県
897,20201,長野市,長野県
898,20202,松本市,長野県
899,20203,上田市,長野県
900,20204,岡谷市,長野県
901,20205,飯田市,長野県
902,20206,諏訪市,長野県
903,20207,須坂市,長野県
904,20208,小諸市,長野県
905,20209,伊那市,長野県
906,20210,駒ヶ根市,長野県
907,20211,中野市,長野県
908,20212,大町市,長野県
909,20213,飯山市,長野県
910,20214,茅野市,長野県
911,20215,塩尻市,長野県
912,20217,佐久市,長野県
913,20218,千曲市,長野県
914,20219,東御市,長野県
915,20220,安曇野市,長野県
916,20303,小海町,長野県
917,20304,川上村,長野県
918,20305,南牧村,長野県
919,20306,南相木村,長野県
920,20307,北相木村,長野県
921,20309,佐久穂町,長野県
922,20321,軽井沢町,長野県
923,20323,御代田町,長野県
924,20324,立科町,長野県
925,20349,青木村,長野県
926,20350,長和町,長野県
